data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-03-24 23:07:35,24/03/2020 - O DesGoverno do Rn destina TRÊS MILHÕES DE REAIS 💵 DO NOSSO DINHEIRO 💰 PARA “SERVIÇOS DE PUBLICIDADE”… https://t.co/wEiKvR52Hs,0,pt,Natal,Brazil,BR,-35.2095,-5.8008
2020-03-26 22:31:05,"Atendendo à situação de Pandemia por COVID-19, no nosso país e seguindo as recomendações da Direção Geral de Saúde… https://t.co/QR2le6x6bV",0,pt,Góis,Portugal,PT,-8.11667,40.15
2020-04-14 21:12:35,↘️ Decon de Juazeiro do Norte determina medidas sanitárias de proteção à COVID-19 nos Mercados Públicos. A promotor… https://t.co/799kX22VO4,0,pt,Juazeiro do Norte,Brazil,BR,-39.315,-7.21277778
2020-04-16 02:30:04,Selfie da Webmeeting institucional @Boehringer referência de todas as 4as feiras às 19h30 para todos os profissiona… https://t.co/3QUPeCW4js,0,pt,Curitiba,Brazil,BR,-49.2705,-25.4339
2020-05-26 23:40:54,Melhor Personal que vi nos últimos 3 meses para essa quarentena. O melhor!!! clovisribheiro linyrayane alinegamafit… https://t.co/wCcBa42mR3,0,pt,Brasília,Brazil,BR,-47.95620547,-15.85699628
2020-03-31 23:16:45,"O mundo não é mais o mesmo depois dessa #pandemia do #coronavirus #covid_19, as pessoas estão em #quarentena e tudo… https://t.co/BBhLw3bzpA",0,pt,Vitória de Santo Antão,Brazil,BR,-35.2958,-8.1194
2020-04-09 21:28:32,"FAÇA O SEU CONSÓRCIO, FINANCIAMENTO OU O SEU SEGURO SEM SAIR DA SUA CASA! ISSO MESMO! Você ganha tempo e evita a ci… https://t.co/OpVlFgeElS",0,pt,Abre Campo,Brazil,BR,-42.47626,-20.29859
2020-03-13 18:48:22,"Com o avanço do novo #coronavírus pelo Brasil, temos que intensificar os cuidados com a nossa saúde e se previnir é… https://t.co/DivZwO9LkS",0,pt,Sao Paulo,Brazil,BR,-46.6333,-23.55
2020-02-04 17:52:37,Bora conhecer mais sobre o corona vírus com Dr Eduardo Finger Programa Nova Stella @tvpuc em Museu da Imagem e do S… https://t.co/MlocE8Y20x,0,pt,Sao Paulo,Brazil,BR,-46.67611241,-23.57275157
2020-04-16 07:44:49,A Copa do Nordeste completou nesta quarta-feira (15) um mês paralisado em virtude da pandemia do novo coronavírus.… https://t.co/20pn4J6BDr,0,pt,Salvador,Brazil,BR,-38.48899651,-12.9651598
2020-05-31 19:48:33,"[Vitrine Virtual @Dadynha ] Divulgação voluntária durante a pandemia do Covid-19: com fé, confiança e empatia vence… https://t.co/ocWr9CSp1Q",0,pt,Maranguape,Brazil,BR,-38.69200361,-3.89680231
2020-05-30 15:18:22,Estamos seguindo atendendo desde o início dessa quarentena pelo simples fato de usar Epi's e seguir o protocolo de… https://t.co/RZLt7dt1Ik,0,pt,Rio de Janeiro,Brazil,BR,-43.56036387,-22.87484952
2020-03-19 20:53:17,Comunicado sobre a pandemia da Covid-19 e o funcionamento do escritório nos próximos dias. em Abreu Júdice Advogados https://t.co/zCECBwtrc6,0,pt,Vitória,Brazil,BR,-40.28993368,-20.31730278
2020-04-13 10:03:35,Day 27 - 😷🦠 #Quarentena #COVID19 #CoronaVirus #EuFicoEmCasa     #HomeOffice #TodosPorTodos #FicaEmCasa     #Brasil… https://t.co/AD9crcRtji,1,pt,Guarulhos,Brazil,BR,-46.50012471,-23.43075575
2020-03-11 13:43:03,"Batalha contra a Covid-19 ""para salvar Wuhan"" https://t.co/itoIBDqcqL Em https://t.co/MDmhqgtnSp https://t.co/1LiFJcP5DT",0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-03-13 15:31:19,"Vamos todos colaborar 🤜🤛 #covid19 #coronavirus em Samedan, Switzerland https://t.co/pcJqg4HA0P",0,es,Samedan,Switzerland,CH,9.8731,46.53607
2020-03-21 19:44:00,"Bate papo com @elielsonlima sobre o efeito CORONA VÍRUS foi riquíssimo, a Live está salva nos stories @ São Lourenç… https://t.co/5hJCC6JdrM",0,pt,São Lourenço da Mata,Brazil,BR,-35.0178,-8.0066
2020-05-29 22:41:49,Respeito ao distanciamento social. em Diocesano Bistrô https://t.co/aCJvwmDACT,0,pt,Iguatu,Brazil,BR,-39.29026514,-6.35464645
2020-05-16 10:51:41,#gratulação🙌🏼 #cliente botecodourso.ssa Em tempos de #covid19 temos que nos unir +. #uniao #fiqueemcasa… https://t.co/EC6DAHoMXp,0,pt,Salvador,Brazil,BR,-38.4488244,-12.98236172
2020-05-27 20:30:49,"Décima oitava morte no Estado e a quinta morte por Covid-19 na cidade de Três Lagoas, vítima é uma mulher de 78 ano… https://t.co/jLoHwzL64a",0,pt,Campo Grande,Brazil,BR,-54.64583333,-20.44277778
2020-03-27 12:41:53,"6° dia de Lock Down lvl4: Hoje eu saí pra comprar comida e dar uma malhada na pracinha, igual meu amigo Bangu do Ri… https://t.co/7QrmIHHC1G",0,pt,Auckland,New Zealand,NZ,174.765,-36.847
2020-03-20 04:01:48,Aqui no CSL utilizamos as mais variadas plataformas digitais para manter a aprendizagem e os estudos à distância ne… https://t.co/EsCQJCIvnD,0,pt,Canoas,Brazil,BR,-51.20646,-29.90008
